순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
266,국내도서,집착,8954685609,9.78895E+12,3860,문학동네,"아니 에르노 지음, 정혜용 옮김","11,000","9,900","1,100",10%,550점,20220318,4856
267,국내도서,2022 청소년상담사 2급ㆍ3급 2차 면접대비,K282837568,9.79114E+12,13330,시대고시기획,문두식 지음,"27,000","24,300","2,700",10%,"1,350점",20220504,3935
268,국내도서,구의 증명,8956608555,9.78896E+12,3810,은행나무,최진영 지음,"8,000","7,200",800,10%,400점,20150330,82157
269,국내도서,꿀딴지곰의 레트로 게임 대백과,8964945832,9.78896E+12,13690,보누스,꿀딴지곰 지음,"22,000","19,800","2,200",10%,"1,100점",20221025,4032
270,국내도서,자이언트 임팩트,8901266105,9.7889E+12,3320,웅진지식하우스,박종훈 지음,"19,800","17,820","1,980",10%,990점,20221024,9748
271,국내도서,어디로 가세요 펀자이씨?,8954688519,9.78895E+12,4810,문학동네,엄유진 지음,"16,000","14,400","1,600",10%,800점,20220920,10129
272,국내도서,바로 쓰는 영어,K072838506,9.79117E+12,13740,넥서스,"셀리 지음, Thomas W. Selley 감수","18,000","16,200","1,800",10%,900점,20220720,15441
273,국내도서,Go Go 카카오프렌즈 자연탐사 1 : 아마존 열대우림,8950942402,9.78895E+12,74400,아울북,"조주희 지음, 김정한 그림, 김미영 기획","14,800","13,320","1,480",10%,740점,20221026,9468
274,국내도서,바니타스의 수기 10 (특별 소책자 포함 특장판),K042839203,9.79117E+12,,대원씨아이(만화),모치즈키 준 지음,"12,000","10,800","1,200",10%,600점,20220929,4488
275,국내도서,2023년 모네의 정원에서 월든을 읽다 탁상달력,K582839483,8.80953E+12,1,북엔(BOOK&_),북엔 편집부 지음,"9,800","5,880","3,920",40%,90점,20220921,7185
276,국내도서,계절의 위로,K672838147,9.79119E+12,3810,지식인하우스,서은 지음,"15,500","13,950","1,550",10%,770점,20220817,6482
277,국내도서,탐닉,8954685595,9.78895E+12,3860,문학동네,"아니 에르노 지음, 조용희 옮김","15,500","13,950","1,550",10%,770점,20220318,3899
278,국내도서,2022 ADsP 데이터 분석 준전문가,K962836663,9.7912E+12,,데이터에듀,윤종식 지음,"28,000","25,200","2,800",10%,"1,400점",20220128,17984
